fabricação, fabricações		fabricação, fabricações	a fabricação, as fabricações	/ɐ fɐbɾikɐˈsɐ̃w̃ | ɐʃ fɐbɾikɐˈsõj̃ʃ/	/a fabɾikaˈsɐ̃w̃ | aʃ fabɾikaˈsõj̃s/	sf	Processo de produção de algo.		manufacturing	/ˌmænjəˈfæktʃə˞ɹɪŋ/	/ˌmænjʊˈfæktʃərɪŋ/	n	The process of producing something.		fabricación						fabrication						Fabrikation						fabricació						fabbricazione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
colorido, colorida		colorido, colorida	colorido, colorida	/kuluˈɾidu | kuluˈɾidɐ/	/koloˈɾidu | koloˈɾidɐ/	adj m/f	Que tem muitas cores.		colored, colorful	/ˈkʰələ˞d | ˈkʰələ˞fəl/	/ˈkʰʌləd | ˈkʰʌləfʊl/	adj	Having many colors.		colorido, colorida						coloré, colorée						bunt						colorit,da						colorato, colorata												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
perfumado, perfumada		perfumado, perfumada	perfumado, perfumada	/pɨɾfuˈmadu | pɨɾfuˈmadɐ/	/peʁfuˈmadu | peʁfuˈmadɐ/	adj m/f	Que tem um cheiro agradável.		fragrant	/ˈfɹeɪɡɹənt/	/ˈfreɪɡrᵊnt/	adj	Having a pleasant smell.		perfumado, perfumada						parfumé, parfumée						duftend						perfumat,da						profumato, profumata												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
belo, bela		belo, bela	belo, bela	/ˈbɛlu | ˈbɛlɐ/	/ˈbɛlu | ˈbɛlɐ/	adj m/f	Bonito, encantador.		beautiful	/ˈbjutɪfəl/	/ˈbjuːtɪfᵊl/	adj	Pleasing to the senses; charming.		hermoso, hermosa						beau, belle						schön						bell, bella						bello, bella												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Life
beleza		beleza	a beleza	/ɐ bɨˈlɛzɐ/	/a beˈlɛzɐ/	sf	Qualidade do que é bonito.		beauty	/ˈbjuti/	/ˈbjuːti/	n	The quality of being aesthetically pleasing.		belleza						beaute						Schönheit						bellesa						bellezza												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Life
a vida		a vida	a vida	/ɐ ˈvidɐ/	/a ˈvidɐ/	sf	Existência, condição de estar vivo.		life	/ˈlaɪf/	/ˈlaɪf/	n	Existence; the state of being alive.		la vida						la vie						das Leben						la vida						la vita												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Life
vivo, viva		vivo, viva	vivo, viva	/ˈvivu | ˈvivɐ/	/ˈvivu | ˈvivɐ/	adj m/f	Que tem vida, cheio de energia.		alive	/əˈlaɪv/	/əˈlaɪv/	adj	Having life; full of energy.		vivo, viva						vivant, vivante						lebendig						viu, viva						vivo, viva												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Life
vital		vital	vital	/viˈtaɫ/	/viˈtaw/	adj m/f	Essencial para a vida.		vital	/ˈvaɪtl̩/	/ˈvaɪtᵊl/	adj	Essential for life.		vital						vital						vital						vital						vitale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Life
florido, florida		florido, florida	florido, florida	/fluˈɾidu | fluˈɾidɐ/	/floˈɾidu | floˈɾidɐ/	adj m/f	Cheio de flores.		flowering	/ˈflaʊə˞ɹɪŋ/	/ˈflaʊərɪŋ/	adj	Full of flowers.		florecido, florida						fleuri, fleurie						blühend						florit,da						fiorito, fiorita												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
hábito		hábito	o hábito	/u ˈabitu/	/u ˈabitu/	sm	Costume, prática recorrente.		habit	/ˈhæbət/	/ˈhæbɪt/	n	A recurring practice or custom.		hábito						habitude						Gewohnheit						hàbit						abitudine												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
habitual, habituais		habitual, habituais	habitual, habituais	/ɐbituˈaɫ | ɐbituˈajʃ/	/abituˈaw | abituˈajs/	adj m/f	Frequente, comum, costumeiro.		habitual	/həˈbɪtʃəwəl/	/həˈbɪtʃuəl/	adj	Frequent, common, or customary.		habitual						habituel, habituelle						gewohnt						habitual						abituale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
tradicional, tradicionais		tradicional, tradicionais	tradicional, tradicionais	/tɾɐdisiuˈnaɫ | tɾɐdisiuˈnajʃ/	/tɾadʒisioˈnaw | tɾadʒisioˈnajs/	adj m/f	Que segue costumes ou práticas antigas; típico.		traditional	/tɹəˈdɪʃənl̩/	/trəˈdɪʃᵊnᵊl/	adj	Following old customs or practices; typical.		tradicional						traditionnel, traditionnelle						traditionell						tradicional						tradizionale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
importante		importante	importante	/ĩpuɾˈtɐ̃tɨ/	/ĩpoʁˈtɐ̃tʃi/	adj m/f	Que tem grande valor ou relevância.		important	/ɪmˈpʰɔrtn̩t/	/ɪmˈpʰɔːtᵊnt/	adj	Having great value or significance.		importante						important						wichtig						important						importante												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
cultural, culturais (adj)		cultural, culturais	cultural, culturais	/kuɫtuˈɾaɫ | kuɫtuˈɾajʃ/	/kuwtuˈɾaw | kuwtuˈɾajs/	adj m/f	Relacionado à cultura ou às artes.		cultural	/ˈkʰəltʃə˞ɹəl/	/ˈkʰʌltʃᵊrᵊl/	adj	Related to culture or the arts.		cultural						culturel, culturelle						kulturell						cultural						culturale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
a estreia (de um filme, o peça de teatro)		a estreia	a estreia	/ɐ ʃˈtɾɐjɐ/	/a isˈtɾejɐ/	sf	Primeira apresentação de um filme ou peça de teatro.		premiere	/pɹɪˈmɪr/	/ˈpremieə/	n	The first presentation of a film or play.		estreno						première						Premiere						estrena						prima												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
música, músicas (as músicas de Ana Moura)		música, músicas	a música, as músicas	/ɐ ˈmuzikɐ | ɐʒ ˈmuzikɐʃ/	/a ˈmuzikɐ | aʒ ˈmuzikas/	sf	Canções interpretadas por artistas.		song	/ˈsɔŋ/	/ˈsɒŋ/	n	A musical composition performed by artists.		canción						chanson						Lied						canço						canzone												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
álbum, albuns (álbum musical)		álbum, álbuns	o álbum, os álbuns	/u ˈaɫbũ | uz ˈaɫbũʃ/	/u ˈawbũ | uz ˈawbũs/	sm	Coleção de músicas gravadas por um artista ou banda.		album	/ˈælbəm/	/ˈælbəm/	n	A collection of recorded songs by an artist or band.		álbum						album						Album						àlbum						album												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
sucesso imediato		sucesso imediato	o sucesso imediato	/u suˈsɛsu imɨdiˈatu/	/u suˈsɛsu imedʒiˈatu/	sm	Algo que se torna popular rapidamente.		immediate success	/ɪˈmidiət səkˈsɛs/	/ɪˈmiːdiət səkˈses/	n	Something that quickly becomes popular.		éxito inmediato						succès immédiat						sofortiger Erfolg						èxit immediat						successo immediato												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
colaboração, colaborações		colaboração, colaborações	a colaboração, as colaborações	/ɐ kulɐbuɾɐˈsɐ̃w̃ | ɐʃ kulɐbuɾɐˈsõj̃ʃ/	/a kolaboɾaˈsɐ̃w̃ | aʃ kolaboɾaˈsõj̃s/	sf	Trabalho conjunto entre pessoas ou instituições.		collaboration	/kəˌlæbə˞ˈɹeɪʃən/	/kəˌlæbəˈreɪʃᵊn/	n	A joint effort between people or institutions.		colaboración						collaboration						Zusammenarbeit						col·laboració						collaborazione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
abordagem, abordagens (abordagem artística)		abordagem, abordagens	a abordagem, as abordagens	/ɐ ɐbuɾˈdaʒɐ̃j̃ | ɐz ɐbuɾˈdaʒẽʃ/	/a aboʁˈdaʒẽj̃ | az aboʁˈdaʒẽs/	sf	Maneira de tratar um tema ou problema.		approach	/əˈpɹoʊtʃ/	/əˈprəʊtʃ/	n	A way of dealing with a subject or problem.		enfoque						approche						Ansatz						enfocament						approccio												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
referência, referenciais		referência, referências	a referência, as referências	/ɐ ʁɨfɨˈɾẽsiɐ | ɐʒ ʁɨfɨˈɾẽsiɐʃ/	/a ʁefeˈɾẽsiɐ | aʒ ʁefeˈɾẽsias/	sf	Algo ou alguém citado como exemplo ou modelo.		reference	/ˈɹɛfɹəns/	/ˈrefᵊrᵊns/	n	Something or someone cited as an example or model.		referencia						référence						Referenz						referència						riferimento												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
inquevrável, inquevráveis (adj)		inquebrável, inquebráveis	inquebrável, inquebráveis	/ĩkɨˈbɾavɛɫ | ĩkɨˈbɾavɐjʃ/	/ĩkeˈbɾavɛw | ĩkeˈbɾavejs/	adj m/f	Que não pode ser quebrado; muito resistente.		unbreakable	/ˌənˈbɹeɪkəbəl/	/ʌnˈbreɪkəbᵊl/	adj	Not able to be broken; very resistant.		irrompible						incassable						unzerbrechlich						irrompible						indistruttibile												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
procura (de dor, dúvida ou procura)		procura	a procura	/ɐ pɾuˈkuɾɐ/	/a pɾoˈkuɾɐ/	sf	Ato de buscar algo ou alguém.		search	/ˈsɜ˞tʃ/	/ˈsɜːtʃ/	n	The act of looking for something or someone.		búsqueda						recherche						Suche						cerca						ricerca												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
percurso (tem um percurso sólido e respeitado como músico)		percurso	o percurso	/u pɨɾˈkuɾsu/	/u peʁˈkuʁsu/	sm	Trajeto ou caminho seguido; carreira profissional.		path	/ˈpʰæθ/	/ˈpʰɑːθ/	n	A route or direction taken; a career journey.		trayectoria						chemin						Weg						percurs						percorso												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cancoes Curso::2A2::vocabulario_em_clase Portugues::VOC
refletir		refletir	refletir	/ʁɨflɨˈtiɾ/	/ʁefleˈtʃiʁ/	v	Pensar profundamente sobre algo.		reflect	/ɹɪˈflɛkt/	/rɪˈflekt/	v	To think deeply about something.		reflexionar						réfléchir						reflektieren						reflexionar						riflettere												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
sozinho, sozinha		sozinho, sozinha	sozinho, sozinha	/suˈziɲu | suˈziɲɐ/	/soˈziɲu | soˈziɲɐ/	adj m/f	Que está sem companhia.		alone	/əˈloʊn/	/əˈləʊn/	adj	Without company.		solo						seul						allein						a soles						solo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Frases::SO Portugues::VOC
a sós (a solas en español)		a sós	a sós	/ɐ ˈsɔʃ/	/a ˈsɔs/	adv	Estar sozinho, sem outras pessoas.		alone	/əˈloʊn/	/əˈləʊn/	adv	Being by oneself, without others.		solo						seul						allein						a soles						solo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Frases::SO Portugues::VOC
olha só! (mira)		olha só!	olha só!	/ˈɔʎɐ ˈsɔ ‖/	/ˈɔʎɐ ˈsɔ ‖/	int	Expressão usada para chamar a atenção para algo.		look!	/ˈlʊk ‖/	/ˈlʊk ‖/	interj	An expression used to draw attention to something.		¡mira!						regarde!						sieh mal!						mira!						guarda!												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Frases::Olhar Portugues::Frases::SO Portugues::VOC
apenas (adv)		apenas	apenas	/ɐˈpɛnɐʃ/	/aˈpɛnas/	adv	Somente, exclusivamente.		only	/ˈoʊnli/	/ˈəʊnli/	adv	Exclusively, solely.		solamente						seulement						nur						només						solo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Frases::SO Portugues::VOC
somente (adv)		somente	somente	/suˈmẽtɨ/	/soˈmẽtʃi/	adv	Apenas, nada mais.		only	/ˈoʊnli/	/ˈəʊnli/	adj	Nothing more; just this.		solamente						seulement						nur						només						solo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Frases::SO Portugues::VOC
clássico, clássicos (clássicos de autores estrangeiros)		clássico, clássicos	clássico, clássicos	/ˈklasiku | ˈklasikuʃ/	/ˈklasiku | ˈklasikus/	adj m	Obra artística de grande valor e reconhecimento.		classic	/ˈklæsɪk/	/ˈklæsɪk/	adj	An artistic work of great value and recognition.		clásico						classique						klassisch						clàssic						classico												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
apresentados, apresentadas (peças teatrais são apresentadas)		apresentados, apresentadas	apresentados, apresentadas	/ɐpɾɨzẽˈtaduʃ | ɐpɾɨzẽˈtadɐʃ/	/apɾezẽˈtadus | apɾezẽˈtadas/	adj m/f	Que foram exibidos ou mostrados.		presented	/pɹɪˈzɛntəd/	/prɪˈzentɪd/	adj	Shown or exhibited.		presentados						présentés						präsentiert						presentats						presentati												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
teatral, teatrais		teatral, teatrais	teatral, teatrais	/tiɐˈtɾaɫ | tiɐˈtɾajʃ/	/tʃiaˈtɾaw | tʃiaˈtɾajs/	adj m/f	Relacionado ao teatro.		theatrical	/θiˈætɹɪkəl/	/θiˈætrɪkᵊl/	adj	Related to theater.		teatral						théâtral						theatralisch						teatral						teatrale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Theater
atual, atuais		atual, atuais	atual, atuais	/ɐtuˈaɫ | ɐtuˈajʃ/	/atuˈaw | atuˈajs/	adj m/f	Que pertence ao tempo presente.		current	/ˈkʰɜ˞ɹənt/	/ˈkʰʌrᵊnt/	adj	Belonging to the present time.		actual						actuel						aktuell						actual						actuale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
passatempo		passatempo	o passatempo	/u pɐsɐˈtẽpu/	/u pasaˈtẽpu/	sm	Atividade para se entreter ou ocupar o tempo livre.		hobby	/ˈhɑbi/	/ˈhɒbi/	n	An activity for leisure or entertainment.		pasatiempo						passe-temps						Hobby						passatemps						passatempo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
carpete (tapete)		carpete	a carpete	/ɐ kɐɾˈpɛtɨ/	/a kaʁˈpɛtʃi/	sf	Tapete grande que cobre o chão.		carpet	/ˈkʰɑrpət/	/ˈkʰɑːpɪt/	n	A large rug covering the floor.		alfombra						moquette						Teppich						carpeta						moquette												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Tapetes
naperom		naperom	o naperom	/u nɐpɨˈɾõ/	/u napeˈɾõ/	sm	Pequena toalha de renda ou bordada usada sobre móveis.		doily	/ˈdɔɪli/	/ˈdɔɪli/	n	A small lace or embroidered cloth used on furniture.		blonda						napperon						Deckchen						servilleta						centrino												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Tapetes
capacho		capacho	o capacho	/u kɐˈpaʃu/	/u kaˈpaʃu/	sm	Pequeno tapete colocado na entrada de uma casa.		doormat	/ˈdɔrˌmæt/	/ˈdɔːmæt/	n	A small mat placed at the entrance of a house.		felpudo						paillasson						Fußmatte						estora						zerbino												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Tapetes
cabaz		cabaz	o cabaz	/u kɐˈbaʃ/	/u kaˈbaʃ/	sm	Cesto grande para transportar frutas ou vegetais.		basket	/ˈbæskɪt/	/ˈbɑːskɪt/	n	A large container for carrying fruits or vegetables.		cesta						panier						Korb						cabàs						cesta												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Tapetes
tapeçaria (paredes)		tapeçaria	a tapeçaria	/ɐ tɐpɨsɐˈɾiɐ/	/a tapesaˈɾiɐ/	sf	Peça decorativa tecida à mão ou em tear.		tapestry	/ˈtʰæpəstɹi/	/ˈtʰæpɪstri/	n	A decorative woven piece, often handmade.		tapiz						tapisserie						Wandteppich						tapís						arazzo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Tapetes
estofo (auto,moveis)		estofo	o estofo	/u ˈʃtɔfu/	/u isˈtɔfu/	sm	Revestimento de móveis ou do interior de carros.		upholstery	/ˌəpˈhoʊlstə˞ɹi/	/ʌpˈhəʊlstᵊri/	n	The fabric covering furniture or car interiors.		tapicería						garnissage						Polsterung						tapisseria						tappezzeria												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Tapetes
filmar (v)		filmar	filmar	/fiɫˈmaɾ/	/fiwˈmaʁ/	v	Gravar imagens em movimento para cinema ou TV.		to film	/tə ˈfɪlm/	/tə ˈfɪlm/	v	To record moving images for cinema or television.		grabar						filmer						filmen						gravar						riprendere												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
filme (cinema)		filme	o filme	/u ˈfiɫmɨ/	/u ˈfiwmi/	sm	Obra cinematográfica; sequência de imagens em movimento.		movie	/ˈmuvi/	/ˈmuːvi/	n	A cinematographic work; a sequence of moving images.		película						film						Film						pel·lícula						film												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC
película (camada)		película	a película	/ɐ pɨˈlikulɐ/	/a peˈlikulɐ/	sf	Camada fina sobre um objeto; filme fotográfico.		coating	/ˈkʰoʊtɪŋ/	/ˈkʰəʊtɪŋ/	n	A thin layer over an object; photographic film.		capa						couche						Schicht						capa						pellicola												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC
rolo (película)		rolo	o rolo	/u ˈʁɔlu/	/u ˈʁɔlu/	sm	Cilindro de material enrolado, como um filme fotográfico.		roll	/ˈɹoʊl/	/ˈrəʊl/	n	A cylindrical material wound up, such as photographic film.		rollo						rouleau						Rolle						rotllo						rotolo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC
film (cozinha)		film	o film	/u ˈfiɫm/	/u ˈfiwm/	sm	Material plástico usado para envolver alimentos ou objetos.		plastic wrap	/ˈplæstɪk ˈɹæp/	/ˈplæstɪk ˈræp/	n	A plastic material used to cover food or objects.		papel film						film alimentaire						Frischhaltefolie						pel·lícula alimentària						pellicola trasparente												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC
indicado para (está indicado para o Oscar)		indicado para	indicado para	/ĩdiˈkadu pɐɾɐ/	/ĩdʒiˈkadu paɾɐ/	exp	Que foi selecionado ou recomendado para algo.		nominated for	/ˈnɑməˌneɪtəd ˈfɔr/	/ˈnɒmɪˌneɪtɪd ˈfɔː/	adj	Selected or recommended for something.		indicado para						nommé pour						nominiert für						nominat per						indicato per												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
estar um espanto, ie. estás um espanto (en español estar deslumbrante)		estar um espanto	estar um espanto	/ˈʃtaɾ ˈũ ˈʃpɐ̃tu/	/isˈtaʁ ˈũ isˈpɐ̃tu/	exp	Estar deslumbrante ou impressionante.		to look stunning	/tə ˈlʊk ˈstənɪŋ/	/tə ˈlʊk ˈstʌnɪŋ/	v	To appear dazzling or impressive.		estar deslumbrante						être éblouissant						atemberaubend aussehen						estar espectacular						essere splendido												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo::Palabrotas Portugues::VOC
emfiado, emfiada (metido)		enfiado, enfiada	enfiado, enfiada	/ẽfiˈadu | ẽfiˈadɐ/	/ẽfiˈadu | ẽfiˈadɐ/	adj m/f	Que está metido ou inserido em algo.		stuck	/ˈstək/	/ˈstʌk/	adj	Being trapped or inserted into something.		metido						coincé						feststeckend						encaixat						infilato												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
emfiar (meter)		enfiar	enfiar	/ẽfiˈaɾ/	/ẽfiˈaʁ/	v	Introduzir algo dentro de outro objeto.		to insert	/tu ɪnˈsɜ˞t/	/tu ɪnˈsɜːt/	v	To introduce something into another object.		meter						insérer						einführen						introduir						infilare												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
lazer		lazer	o lazer	/u lɐˈzeɾ/	/u laˈzeʁ/	sm	Tempo livre para atividades de descanso e diversão.		leisure	/ˈliʒə˞/	/ˈleʒə/	n	Free time for rest and entertainment.		ocio						loisir						Freizeit						oci						tempo libero												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
